EIN,ObjectId,FormType,TaxPeriod,TaxYear,OrganizationName,TotalAssetsBkEOY,TotalLiabilitiesBkEOY
562071604,202640229349300324,990,2025-06-30,2024,LINCOLN COUNTY ROTARY STUDENT LOAN FUND INC,2878172,901
562071604,202403099349302395,990,2024-06-30,2023,Lincoln County Rotary Student Loan Fund Inc,2898302,897
562071604,202303059349302680,990,2023-06-30,2022,Lincoln County Rotary Student Loan Fund Inc,2864939,503
580568686,202541569349300004,990,2024-12-31,2024,JEWISH EDUCATIONAL LOAN FUND INC,19344814,657932
580568686,202421279349302052,990,2023-12-31,2023,JEWISH EDUCATIONAL LOAN FUND INC,16902760,616529
580568686,202331289349303863,990,2022-12-31,2022,JEWISH EDUCATIONAL LOAN FUND INC,15923172,871780
731518380,202513199349301436,990,2025-06-30,2024,LAUER AND HAZEL HIERONYMUS STUDENT LOAN TRUST,2546910,0
731518380,202540589349300644,990,2024-06-30,2023,LAUER AND HAZEL HIERONYMUS STUDENT LOAN TRUST,2472011,0
731518380,202403039349301675,990,2024-06-30,2023,LAUER AND HAZEL HIERONYMUS STUDENT LOAN TRUST,2495550,0
825204018,202511339349305051,990,2024-09-30,2023,TMC COMMUNITY CAPITAL,5947225,4711609
825204018,202421499349300632,990,2023-09-30,2022,TMC COMMUNITY CAPITAL,5301238,4369632
825204018,202332279349303918,990,2022-09-30,2021,TMC COMMUNITY CAPITAL,2921286,2407588
161552731,202510539349300311,990,2024-06-30,2023,COMMUNITY RESOURCES CAPITAL FOUNDATION INC,3249700,31817
161552731,202420659349300542,990,2023-06-30,2022,COMMUNITY RESOURCES CAPITAL FOUNDATION INC,3020972,14900
161552731,202310839349300621,990,2022-06-30,2021,COMMUNITY RESOURCES CAPITAL FOUNDATION INC,2924280,14200
201798654,202501649349301750,990,2024-12-31,2024,NEW MEXICO COMMUNITY CAPITAL,9797355,4314441
201798654,202441839349301314,990,2023-12-31,2023,NEW MEXICO COMMUNITY CAPITAL,11653210,8246463
201798654,202332409349301368,990,2022-12-31,2022,NEW MEXICO COMMUNITY CAPITAL,13279513,10247982
202091947,202403589349301075,990,2024-09-30,2023,FIVE RIVERS LOAN FUND INC,1431024,377399
202091947,202410339349301486,990,2023-09-30,2022,FIVE RIVERS LOAN FUND INC,1408531,276484
202091947,202311599349301201,990,2022-09-30,2021,FIVE RIVERS LOAN FUND INC,1359560,232008
222524015,202503119349300935,990,2025-06-30,2024,NEW HAMPSHIRE COMMUNITY LOAN FUND INC,237353910,163574882
222524015,202433389349300333,990,2024-06-30,2023,NEW HAMPSHIRE COMMUNITY LOAN FUND INC,220225049,163402410
222524015,202343119349301959,990,2023-06-30,2022,NEW HAMPSHIRE COMMUNITY LOAN FUND INC,189182393,148233689
232889102,202533219349309758,990,2024-12-31,2024,PIDC COMMUNITY CAPITAL,72964883,29827638
232889102,202433209349325253,990,2023-12-31,2023,PIDC-COMMUNITY CAPITAL,70260615,30997083
232889102,202313129349305181,990,2022-12-31,2022,PIDC-COMMUNITY CAPITAL,73782065,40411625
270375039,202513459349301561,990,2025-06-30,2024,NORTHWEST IOWA REGIONAL HOUSING TRU,1964125,8592
270375039,202433549349300318,990,2024-06-30,2023,NORTHWEST IOWA REGIONAL HOUSING TRU,2207421,9202
270375039,202313079349301891,990,2023-06-30,2022,NORTHWEST IOWA REGIONAL HOUSING TRU,2002451,5232
454561134,202523239349301352,990,2024-12-31,2024,COMMUNITY CAPITAL FUND,2859882,1347035
454561134,202403459349301140,990,2023-12-31,2023,COMMUNITY CAPITAL FUND,1050391,600935
454561134,202343329349301424,990,2022-12-31,2022,COMMUNITY CAPITAL FUND,1374531,888473
461021281,202503219349311655,990,2024-12-31,2024,WATERLOO HOUSING TRUST FUND,102203,102203
461021281,202441319349304644,990,2023-12-31,2023,WATERLOO HOUSING TRUST FUND,97800,97800
461021281,202322309349300627,990,2022-12-31,2022,WATERLOO HOUSING TRUST FUND,47172,47172
510137370,202501489349301650,990,2024-12-31,2024,LUCY S ELLIOTT LOAN FUND,2961007,0
510137370,202530439349301648,990,2023-12-31,2023,LUCY S ELLIOTT LOAN FUND,2974775,210
510137370,202311449349301501,990,2022-12-31,2022,LUCY S ELLIOTT LOAN FUND,2931390,95103
561706757,202532869349300943,990,2024-12-31,2024,BRICK CAPITAL COMMUNITY DEVELOPMENT CORPORATION,3862202,2957274
561706757,202443139349303449,990,2023-12-31,2023,BRICK CAPITAL COMMUNITY DEVELOPMENT CORPORATION,3586290,1889039
561706757,202342919349301564,990,2022-12-31,2022,BRICK CAPITAL COMMUNITY DEVELOPMENT CORPORATION,3550156,1483040
721545804,202533049349301478,990,2025-06-30,2024,CAPITAL CITY COMMUNITY HOMES INC,778473,114161
721545804,202423199349312002,990,2024-06-30,2023,CAPITAL CITY COMMUNITY HOMES INC,792739,93350
721545804,202343189349305189,990,2023-06-30,2022,CAPITAL CITY COMMUNITY HOMES INC,829833,107780
752772797,201532109349300923,990,2015-05-31,2014,MARCHING GREEN PRIDE BAND BOOSTERS,76492,0
822292218,202532279349301503,990,2024-09-30,2023,CAPITAL AREA COMMUNITY ACTION AGENCY HOLDINGS INC,542599,342453
822292218,202422289349303232,990,2023-09-30,2022,CAPITAL AREA COMMUNITY ACTION AGENCY HOLDINGS INC,611952,411806
822292218,202332279349302988,990,2022-09-30,2021,CAPITAL AREA COMMUNITY ACTION AGENCY HOLDINGS INC,595149,358608
841054397,202542769349301124,990,2024-12-31,2024,REGION 12 REVOLVING LOAN FUND CORP,7681620,3778
841054397,202443179349307404,990,2023-12-31,2023,REGION 12 REVOLVING LOAN FUND CORP,6175854,248
841054397,202342839349300244,990,2022-12-31,2022,REGION 12 REVOLVING LOAN FUND CORP,4692425,53742
870834338,202321319349302907,990,2022-12-31,2022,GRAND FINALE EVENTS DEVELOPMENT FOUNDATION,0,0
870834338,202231199349300143,990,2021-12-31,2021,GRAND FINALE EVENTS DEVELOPMENT FOUNDATION,1000,0
020749992,202600489349301315,990,2025-06-30,2024,Southwest Iowa Housing Trust Fund,586315,3910
020749992,202540599349300824,990,2024-06-30,2023,Southwest Iowa Housing Trust Fund,307297,0
020749992,202430309349301363,990,2023-06-30,2022,Southwest Iowa Housing Trust Fund,284524,0
261274244,202513259349300401,990,2025-06-30,2024,SIOUX CITY HOUSING TRUST FUND INC,78763,78763
261274244,202443319349300714,990,2024-06-30,2023,SIOUX CITY HOUSING TRUST FUND INC,46657,46607
261274244,202343269349300629,990,2023-06-30,2022,SIOUX CITY HOUSING TRUST FUND INC,124647,124597
261798076,202501339349303320,990,2024-06-30,2023,SHENANDOAH COMMUNITY CAPITAL FUND INC,639557,572145
261798076,202431369349302818,990,2023-06-30,2022,SHENANDOAH COMMUNITY CAPITAL FUND INC,775837,520844
261798076,202311359349315821,990,2022-06-30,2021,SHENANDOAH COMMUNITY CAPITAL FUND INC,739062,422383
270632049,202620489349302252,990,2025-06-30,2024,REGION 6 HOUSING TRUST FUND,542072,20624
270632049,202500279349301195,990,2024-06-30,2023,REGION 6 HOUSING TRUST FUND,272917,122
270632049,202431159349300108,990,2023-06-30,2022,REGION 6 HOUSING TRUST FUND,365968,0
274155836,202100759349300215,990,2020-06-30,2019,LOUISVILLE METRO AFFORDABLE HOUSING TRUST FUND INC,10738725,46338
274155836,202030079349300708,990,2019-06-30,2018,LOUISVILLE METRO AFFORDABLE HOUSING TRUST FUND INC,6758748,43418
274155836,201833539349300858,990,2018-06-30,2017,LOUISVILLE METRO AFFORDABLE HOUSING TRUST FUND INC,3917828,26566
310868417,202543189349304799,990,2024-12-31,2024,CAPITOL SOUTH COMMUNITY URBAN REDEVELOPMENT CORPORATION,28304463,1922237
310868417,202413209349314876,990,2023-12-31,2023,CAPITOL SOUTH COMMUNITY URBAN REDEVELOPMENT CORPORATION,31211403,2668612
310868417,202343189349314599,990,2022-12-31,2022,CAPITOL SOUTH COMMUNITY URBAN REDEVELOPMENT CORPORATION,34021751,2889778
383415982,202511279349300301,990,2024-06-30,2023,LAPEER COMMUNITY SCHOLARSHIP & STUDENT LOAN FUND,569411,0
383415982,202441299349304119,990,2023-06-30,2022,LAPEER COMMUNITY SCHOLARSHIP & STUDENT LOAN FUND,541351,0
383415982,202331329349300403,990,2022-06-30,2021,LAPEER COMMUNITY SCHOLARSHIP & STUDENT LOAN FUND,527048,0
391521683,202522109349300642,990,2024-12-31,2024,WORKING CAPITAL FOR COMMUNITY NEEDS INC,14493466,12935387
391521683,202442849349300204,990,2023-12-31,2023,WORKING CAPITAL FOR COMMUNITY NEEDS INC,14991917,13622314
391521683,202322779349300427,990,2022-12-31,2022,WORKING CAPITAL FOR COMMUNITY NEEDS INC,14759724,13375285
450437973,202543049349302409,990,2024-12-31,2024,RURAL DEVELOPMENT FINANCE CORPORATION,11378141,165649
450437973,202433199349312258,990,2023-12-31,2023,RURAL DEVELOPMENT FINANCE CORPORATION,8939906,3233
450437973,202312489349302106,990,2022-12-31,2022,Rural Development Finance Corporation,8375287,0
521638361,202543189349310744,990,2024-12-31,2024,EDGEWATER HOUSING FINANCE CORPORATION,2579543,2021213
521638361,202413179349304956,990,2023-12-31,2023,EDGEWATER HOUSING FINANCE CORPORATION,2548836,2030577
521638361,202313189349315751,990,2022-12-31,2022,EDGEWATER HOUSING FINANCE CORPORATION,2593140,2042463
562150641,202601009349300925,990,2025-05-31,2024,GREEN HOPE HIGH SCHOOL BAND BOOSTERS,150401,0
562150641,202412839349301476,990,2024-05-31,2023,GREEN HOPE HIGH SCHOOL BAND BOOSTERS,142213,0
562150641,202322869349302372,990,2023-05-31,2022,GREEN HOPE HIGH SCHOOL BAND BOOSTERS,101718,0
581485396,202522959349300312,990,2025-06-30,2024,WAKE COUNTY HOUSING FINANCE CORPORATION,1145060,9475
581485396,202500159349302060,990,2024-06-30,2023,WAKE COUNTY HOUSING FINANCE CORPORATION,577051,11575
581485396,202343459349300709,990,2023-06-30,2022,WAKE COUNTY HOUSING FINANCE CORPORATION,602130,12300
582435590,202600309349300720,990,2025-06-30,2024,COMMUNITY REDEVELOPMENT LOAN AND INVESTMENT FUND INC,33053042,11436148
582435590,202500369349300500,990,2024-06-30,2023,COMMUNITY REDEVELOPMENT LOAN AND INVESTMENT FUND INC,43767359,27645232
582435590,202411929349300906,990,2023-06-30,2022,COMMUNITY REDEVELOPMENT LOAN AND INVESTMENT FUND INC,35792391,23501417
760273039,202532879349300748,990,2024-12-31,2024,Texas Association of Local Housing Finance Agencies,226283,275
760273039,202421909349300827,990,2023-12-31,2023,Texas Association of Local Housing Finance Agencies,214783,0
760273039,202343039349301174,990,2022-12-31,2022,Texas Association of Local Housing Finance Agencies,167602,0
824122089,202501479349300820,990,2024-12-31,2024,NATIONAL COALITION FOR COMMUNITY CAPITAL NC3,103792,0
824122089,202421379349302477,990,2023-12-31,2023,NATIONAL COALITION FOR COMMUNITY CAPITAL NC3,146447,0
824122089,202301109349301955,990,2022-12-31,2022,NATIONAL COALITION FOR COMMUNITY CAPITAL NC3,55877,0
851312061,202523189349302862,990,2024-12-31,2024,MONTANA NATIVE GROWTH FUND,1054562,567675
851312061,202433219349300423,990,2023-12-31,2023,MONTANA NATIVE GROWTH FUND,1299749,562314
851312061,202423219349300627,990,2022-12-31,2022,MONTANA NATIVE GROWTH FUND,1073352,773207
882294375,202522889349300412,990,2024-12-31,2024,360 COMMUNITY CAPITAL,1643713,0
882294375,202433179349304403,990,2023-12-31,2023,360 COMMUNITY CAPITAL,1660948,6000
882294375,202323059349302717,990,2022-12-31,2022,360 COMMUNITY CAPITAL,2121370,45833
980041406,202543049349300704,990,2024-12-31,2024,THE ITALIAN STUDENT LOAN FUND CORP,1436462,477704
980041406,202441769349300209,990,2023-12-31,2023,THE ITALIAN STUDENT LOAN FUND CORP,1547745,553225
980041406,202322629349300507,990,2022-12-31,2022,THE ITALIAN STUDENT LOAN FUND CORP,1512137,589892
030380921,202330239349301758,990,2022-03-31,2021,CONNECTICUT CDFI ALLIANCE INC,0,0
030380921,201931309349301448,990,2018-06-30,2017,CONNECTICUT CDFI ALLIANCE INC,26040,1508734
030380921,201811359349313436,990,2017-06-30,2016,CONNECTICUT CDFI ALLIANCE INC,374179,1499566
043122535,202521349349300522,990,2024-06-30,2023,COMMUNITY HEALTH CENTER CAPITAL FUND INC,26844673,12356965
043122535,202401029349300700,990,2023-06-30,2022,COMMUNITY HEALTH CENTER CAPITAL FUND INC,22910777,11717414
043122535,202301329349305040,990,2022-06-30,2021,COMMUNITY HEALTH CENTER CAPITAL FUND INC,17231715,8178442
043292614,202512979349301016,990,2024-12-31,2024,NEW HOPE COMMUNITY CAPITAL INC,75605709,64507462
043292614,202423129349300307,990,2023-12-31,2023,NEW HOPE COMMUNITY CAPITAL INC,62167256,51702666
043292614,202333009349300233,990,2022-12-31,2022,NEW HOPE COMMUNITY CAPITAL INC,44271905,34743401
200908987,202640519349300819,990,2025-09-30,2024,Community Development Financial Institution - Tohono O'odham Nation,24229292,1085888
200908987,202541089349300649,990,2024-09-30,2023,Community Development Financial Institution - Tohono O'odham Nation,22003773,161757
200908987,202420759349301432,990,2023-09-30,2022,Community Development Financial Institution - Tohono O'odham Nation,21661301,223567
222872262,202542269349300429,990,2024-09-30,2023,COMMUNITY LOAN FUND OF NEW JERSEY INC,263186710,188486129
222872262,202432289349301838,990,2023-09-30,2022,COMMUNITY LOAN FUND OF NEW JERSEY INC,224707415,155600558
222872262,202312269349301136,990,2022-09-30,2021,COMMUNITY LOAN FUND OF NEW JERSEY INC,225755323,156749429
261177785,202541359349307494,990,2024-12-31,2024,Fresno Community Development Financial Institution dba Access Plus Capital,31878188,17705247
261177785,202442819349302074,990,2023-12-31,2023,Fresno Community Development Financial Institution dba Access Plus Capital,27780738,14243136
261177785,202322909349301157,990,2022-12-31,2022,Fresno Community Development Financial Institution dba Access Plus Capital,30893281,16658887
341753712,201333119349302028,990,2012-12-31,2012,MAHONING YOUNGSTOWN MINI-LOAN FUND INC,117993,1500
341753712,201102519349300005,990,2010-12-31,2010,MAHONING YOUNGSTOWN MINI-LOAN FUND INC,284072,275102
431259206,202533219349313793,990,2024-12-31,2024,Clay Platte Development Corp,1728499,406114
431259206,202430189349300413,990,2023-12-31,2023,Clay Platte Development Corp,1775707,464000
431259206,202310199349300506,990,2022-12-31,2022,Clay Platte Development Corp,1899411,523842
432116172,202513189349313451,990,2024-12-31,2024,WISCONSIN NATIVE LOAN FUND INC,14946570,6687665
432116172,202423199349306222,990,2023-12-31,2023,WISCONSIN NATIVE LOAN FUND INC,8016039,3064245
432116172,202313199349305486,990,2022-12-31,2022,WISCONSIN NATIVE LOAN FUND INC,7515814,3435334
452989334,202402749349300100,990,2023-12-31,2023,NIACOG HOUSING TRUST FUND INC,436213,127678
452989334,202341939349300929,990,2022-12-31,2022,NIACOG HOUSING TRUST FUND INC,428592,124043
452989334,202211659349300726,990,2021-12-31,2021,NIACOG HOUSING TRUST FUND INC,252578,15734
461123753,202343119349303739,990,2022-12-31,2022,Muslim Community Center of Capital District Inc,403089,0
461123753,202213189349315141,990,2021-12-31,2021,Muslim Community Center of Capital District Inc,417838,0
461123753,202023219349323017,990,2019-12-31,2019,Muslim Community Center Capital Dis,326152,0
471158807,202541359349315984,990,2024-06-30,2023,CAPITOL AREA COMMUNITY DEVELOPMENT CORPORATION,6297470,4469
471158807,202421369349311532,990,2023-06-30,2022,CAPITOL AREA COMMUNITY DEVELOPMENT CORPORATION,6454408,3310
471158807,202341219349302054,990,2022-06-30,2021,CAPITOL AREA COMMUNITY DEVELOPMENT CORPORATION,4731405,0
521089036,201601379349308400,990,2015-06-30,2014,COMMUNITY HEALTH CHARITIES OF THE NATIONAL CAPITAL AREA,0,0
521089036,201541349349303719,990,2014-06-30,2013,,3994041,3307915
521089036,201401359349303290,990,2013-06-30,2012,COMMUNITY HEALTH CHARITIES OF THE NATIONAL CAPITAL AREA,4564682,3830132
581492427,202310739349301406,990,2022-06-30,2021,WILMINGTON HOUSING FINANCE & DEVELOPMENT INC,1514511,163419
581492427,202241369349306879,990,2021-06-30,2020,WILMINGTON HOUSING FINANCE & DEVELOPMENT INC,1508814,175881
581492427,202121379349303342,990,2020-06-30,2019,WILMINGTON HOUSING FINANCE & DEVELOPMENT INC,1098280,188983
611529153,202521279349301907,990,2024-12-31,2024,Capital City Community Foundation Inc,1412124,0
611529153,202431349349308213,990,2023-12-31,2023,Capital City Community Foundation Inc I AM TRENTON Community Foundation,407764,60050
611529153,202341439349300544,990,2022-12-31,2022,Capital City Community Foundation Inc I AM TRENTON Community Foundation,201931,2674
621207222,202523179349308312,990,2024-12-31,2024,Greeneville Greene County Community Ministries Food Bank,1915603,5409
621207222,202531199349300238,990,2023-12-31,2023,Greeneville Greene County Community Ministries Food Bank,1872859,10072
621207222,202342989349300509,990,2022-12-31,2022,Greeneville Greene County Community Ministries Food Bank,2028990,11828
825455595,202513089349302511,990,2024-12-31,2024,BEECH GROVE COMPREHENSIVE DRUG-FREE,17245,0
825455595,202412719349300916,990,2023-12-31,2023,BEECH GROVE COMPREHENSIVE DRUG-FREE,24310,0
825455595,202303199349301535,990,2022-12-31,2022,BEECH GROVE COMPREHENSIVE DRUG-FREE,27126,0
943099401,202533089349302473,990,2024-12-31,2024,MERRITT COMMUNITY CAPITAL CORPORATION,39374350,8080954
943099401,202413199349300026,990,2023-12-31,2023,MERRITT COMMUNITY CAPITAL CORPORATION,41740384,12472878
943099401,202303149349304115,990,2022-12-31,2022,MERRITT COMMUNITY CAPITAL CORPORATION,31748169,3982238
222593378,202533209349301213,990,2024-12-31,2024,BLUEHUB LOAN FUND INC,494617792,339485142
222593378,202433189349302958,990,2023-12-31,2023,BLUEHUB LOAN FUND INC,353897293,223157664
222593378,202303129349304965,990,2022-12-31,2022,BLUEHUB LOAN FUND INC,289989268,185663785
251637778,202523009349300912,990,2025-06-30,2024,Pennsylvania Community Development & Finance Corporation,103930,6366
251637778,202403129349302875,990,2024-06-30,2023,Pennsylvania Community Development & Finance Corporation,169011,10900
251637778,202332909349300023,990,2023-06-30,2022,PENNSYLVANIA COMMUNITY DEVELOPMENT & FINANCE CORP,153490,5587
271055654,202442439349300614,990,2024-05-31,2023,Green Mountain High School Band Boosters,139219,0
271055654,202312619349301621,990,2023-05-31,2022,Green Mountain High School Band Boosters,163373,0
311282149,201740989349300814,990,2016-12-31,2016,CAPITAL CITY COMMUNITY URBAN REDEVELOPMENT,144,607
311282149,201600779349300525,990,2015-12-31,2015,CAPITAL CITY COMMUNITY URBAN REDEVELOPMENT,389,42407
391679305,202432619349300748,990,2023-12-31,2023,WAUWATOSA REVOLVING LOAN FUND CORPORATION,948666,1590
391679305,202313109349303571,990,2022-12-31,2022,WAUWATOSA REVOLVING LOAN FUND CORPORATION,924821,7996
391679305,202203189349307160,990,2021-12-31,2021,WAUWATOSA REVOLVING LOAN FUND CORPORATION,929434,0
412004219,202500219349301315,990,2024-06-30,2023,Community Capital Inc,2759085,922113
412004219,202441309349301524,990,2023-06-30,2022,Community Capital Inc,2826503,1108794
412004219,202331149349301083,990,2022-06-30,2021,Community Capital Inc,2712248,1168250
426078059,202523189349301852,990,2025-06-30,2024,PEO Educational Loan Fund,99155952,0
426078059,202423179349304857,990,2024-06-30,2023,PEO Educational Loan Fund,94467243,0
426078059,202313179349307221,990,2023-06-30,2022,PEO Educational Loan Fund,89120461,0
460489810,201923129349301357,990,2018-12-31,2018,NASHVILLE MINORITY BUSINESS DEVELOPMENT LOAN FUND,796542,1016277
460489810,201843199349305564,990,2017-12-31,2017,NASHVILLE MINORITY BUSINESS DEVELOPMENT LOAN FUND,1298694,1479869
460489810,201820849349300202,990,2016-12-31,2016,NASHVILLE MINORITY BUSINESS DEVELOPMENT LOAN FUND,1310957,1853642
461214812,202513179349307961,990,2024-12-31,2024,GLOUCESTER REVOLVING LOAN FUND INC,239140,0
461214812,202403199349304785,990,2023-12-31,2023,GLOUCESTER REVOLVING LOAN FUND INC,252500,0
