ein,name,state,ntee_code,target_ntee_match,most_recent_filing_year,matched_queries
134243257,San Luis Obispo County Housing Trust Fund,CA,L20,Y,2023,housing trust fund
141505623,The Community Foundation For The Greater Capital Region Inc,NY,T31,,2023,community capital
141605106,Capital District Gay & Lesbian Community Council Inc,NY,R26Z,,2023,community capital
141810419,Bank Of Greene County Charitable Foundation,NY,T20,,2024,green bank
161552731,Community Resources Capital Foundation,NY,T11,,2023,community capital
161596827,Greater Capital Association Of Realtors Community Outreach,NY,T30,,2023,community capital
161668947,Youthbuild Loan Fund Inc,MA,,,2018,loan fund
200185800,Community First Capital Corp,PA,S31,Y,2023,community capital
200504976,Aron And Ritchel Zichron Kdoshim Free Loan Fund,NY,T20,,2023,loan fund
200908987,Community Development Financial Institution Of The Tahono Odham,AZ,S43,Y,2024,community development financial institution
201757413,Gloucester Township Housing Finance Corporation,NJ,,,2023,housing finance
201798654,New Mexico Community Capital,NM,S32,,2024,community capital
202091947,Five Rivers Loan Fund Inc,CA,L82,,2023,loan fund
202354315,Wavr,WV,U990,,,green bank
202661862,Miracle Housing Finance Development Corporation,TX,L80,Y,,development finance; housing finance
202863836,Capitola Public Safety And Community Service Foundation Inc,CA,T31,,2023,community capital
204179690,Downtown Stockton Enterprise Loan Fund,CA,S20,,2023,loan fund
204705646,Cdf Healthcare Of Louisiana Llc,LA,,,,CDFI
205030825,Parish Deposit & Loan Trust Fund,PA,,,,loan fund
208181931,Renaissance Community Loan Fund Inc,MS,M20,,2023,community loan fund; loan fund
208349463,Bowling Green Area Community Band,OH,A6C,,,green bank
208921370,Student Loan Fund Of The Rotary Club Of Larned Kansas,OK,B99,,2024,loan fund
222309598,Green Bank Volunteer Ambulance Co Inc,NJ,M23,,2019,green bank
222513381,Capital Community College Foundation Inc,CT,,,2024,community capital
222524015,New Hampshire Community Loan Fund,NH,,,2024,community loan fund; loan fund
222593378,Bluehub Loan Fund Inc,MA,,,2023,loan fund
222626028,Chana Leah & Herman L Liberman Free Loan Fund Under Patrong S Leberman,NY,,,2023,loan fund
222706505,Community Loan Fund Of The Capital Region Inc,NY,L80J,Y,2023,community capital; community loan fund; loan fund
222864900,Vermont Community Loan Fund Inc,VT,L210,Y,2024,community loan fund; loan fund
222872262,Community Loan Fund Of New Jersey Inc,NJ,S120,,2024,community loan fund; loan fund
222889913,Greater New Haven Community Loan Fund,,,,2016,community loan fund; loan fund
226052901,Charles T King Student Loan Fund,NJ,B82Z,,2025,loan fund
226063186,Memorial Scholarship Loan Fund Of College Club Of Ridgewood N J,NJ,,,2025,loan fund
226069151,Toms River Student Loan Fund,NJ,,,2022,loan fund
226816653,Harry Montero Tr Uw Fbo Dr H E Montero Student Loan Fund,PA,,,2023,loan fund
231663795,Manheim Central School District Student Loan Fund Association,PA,,,2025,loan fund
232078823,George W & Anne A Hoover College Student Loan Fund,PA,,,2024,loan fund
232168505,Capitol Christian Community,PA,,,,community capital
232285656,Morrisville Student Loan Fund Inc,PA,B82,,2016,loan fund
232461494,Lehigh And Northampton Counties Revolving Loan Fund Inc,PA,,,2021,loan fund; revolving loan fund
232889102,Pidc Community Capital,PA,S31Z,Y,2023,community capital
232918916,West Greene Band Boosters,PA,A6C,,,green bank
232981563,Valley Housing Finance Corporation,PA,,,2009,housing finance
233032463,Impact Loan Fund Inc,PA,S410,,2024,loan fund
233079170,Rising Tide Community Loan Fund,PA,S31,Y,2024,community loan fund; loan fund
233088989,Community Capital Advisors Inc,PA,S20,,2023,community capital
236262609,The Ross Loan Fund,DE,,,2023,loan fund
236888951,Eva Rothaupt Pape Student Loan Fund Trust Uw,PA,,,2023,loan fund
236955204,Harry J & Mollie S Dilcher Student Loan Fund,MO,T20,,2024,loan fund
237017651,Regional District Eleven Scholarship Loan Fund Inc,CT,,,2010,loan fund
237044238,The International Pentecostal Holiness Church Extension Loan Fun,OK,,,,loan fund
237059382,Lycoming Revolving Loan Fund Inc,PA,,,2019,loan fund; revolving loan fund
237121059,Smick Memorial Loan Fund,KS,,,2024,loan fund
237128835,Citizens Of Georgia Power Educational Loan Fund Inc,GA,B82Z,,2024,loan fund
237148048,Capital District Community Mental Health And Retardation Service Co Inc,,,,2017,community capital
237195738,Eustis Area Scholarship Loan Fund Inc,FL,,,,loan fund
237275321,Avon Lake Kiwanis Scholarship Loan Fund,OH,,,2024,loan fund
237314940,Chinese Community Center Of Capital District Of New York Inc,NY,A230,,2024,community capital
237361202,Eugene B Cooper Student Loan Fund,VA,,,,loan fund
237363303,Hamilton Holt Kiwanis Educational Loan Fund,GA,,,2024,loan fund
237380658,Frank S Land College Educational Loan Fund Of Missouri,MO,,,2011,loan fund
237426268,Islamic Community Center Of Capital District Inc,NY,X402,,2004,community capital
251637778,Pennsylvania Community Development And Finance Corporation,PA,S20Z,,2024,development finance
251698286,Butler Area School District Student Loan Fund,PA,,,2015,loan fund
256067498,Brockway Area High School Student Loan Fund,PA,,,,loan fund
260376623,Capital City Community Band,KY,A6C,,2010,community capital
260759085,Fayette County Local Housing Trust Fund Inc,IA,,,2017,housing trust fund
261078665,South Greene Band Boosters,TN,B11,,,green bank
261114298,Landmarks Community Capital Corporation,PA,S20,,2023,community capital
261177785,Fresno Community Development Financial Institution,CA,W60,,2023,CDFI; community development financial institution
261274244,Sioux City Housing Trust Fund Incorporated,IA,L81,,2024,housing trust fund
261705907,Clay County Local Housing Trust Fund Inc,IA,L20,Y,2019,housing trust fund
261798076,Shenandoah Community Capital Fund I Nc,VA,S31,Y,2024,community capital
262504959,Black Hills Community Loan Fund Inc,SD,S20,,2023,community loan fund; loan fund
262514644,Housing Finance Information Network,PA,V052,,2015,housing finance
270177378,Chehalis Tribal Loan Fund,WA,S32,,2023,loan fund
270375039,Northwest Iowa Housing Trust Fund Inc,IA,L99,,2024,housing trust fund
270632049,Region 6 Housing Trust Fund Inc,IA,P20,,2023,housing trust fund
270735586,Native Community Capital,NM,S20,,2024,community capital
270814338,Suncoast Community Capital Corporation,FL,,,2015,community capital
271055654,Green Mountain High School Band Boosters,CO,B112,,2024,green bank
271087774,Mountain Housing Opportunities Loan Fund Inc,NC,L20,Y,2023,housing loan fund; loan fund
271260007,Champlain Housing Loan Fund Inc,VT,L80,Y,2014,housing loan fund; loan fund
272015948,Housing Instruction Development Empowering Finances Inc,CA,P80,,,development finance; housing finance
272313597,Church Loan Fund Inc,TN,X122,,2023,loan fund
272411030,Community Development Finance Alliance,UT,B90,,2024,development finance
272843925,Community Capital Resources Housing Development Fund Corporation,NY,L25,Y,2022,community capital
273102098,Solar And Energy Loan Fund Of St Lucie County Inc,FL,C35,,2024,loan fund
273511351,Pottawattamie County Housing Trust Fund Inc,IA,L20,Y,2023,housing trust fund
273553319,Chariton Valley Regional Housing Trust Fund Inc,IA,L82,,2023,housing trust fund
273565865,East Central Iowa Housing Trust Fund,IA,L82,,2024,housing trust fund
274149384,Midlands Housing Trust Fund,SC,L20,Y,2023,housing trust fund
274155836,Louisville Metro Affordable Housing Trust Fund Inc,KY,L20,Y,2020,housing trust fund
274573866,Native360 Loan Fund Inc,NE,S32,,2023,loan fund
274689832,Rock Island Housing Finance Corporation,IL,L20,Y,2024,housing finance
300019191,Pacific Housing And Finance Corporation,CA,L12,,2009,housing finance
300089379,Housing Trust Fund Of Northern Virginia Inc,VA,P85,,2023,housing trust fund
300574842,Nampa Housing Finance Corporation,ID,L21,Y,,housing finance
300607412,Global Clearinghouse For Development Finance Inc,NY,Q32,,2024,development finance
310868417,Capitol South Community Urban Redevelopment Corporation,OH,,,2022,community capital
311021735,Community Capital Development Corporation,OH,,,2025,community capital
311040409,Danville Finance And Development Corporation,KY,,,,development finance
311092286,Access Business Development & Finance Inc,OH,,,2022,development finance
311229532,Ohio Community Development Finance Fund,OH,S400,,2023,development finance
311269194,Greene County Adult Concert Band,OH,A6C,,,green bank
311282149,Capital City Community Urban Redevelopment Corporation,OH,S200,,2016,community capital
311312475,First Capital District Of Chillicothe Community Urban,OH,,,,community capital
311479374,Assistive Technology Loan Fund Authority,VA,P80O,,,loan fund
311499733,Business Development Finance Corporation,OH,X99Z,,2024,development finance
311533803,Owenton Rotary Student Loan Fund Inc,KY,B82Z,,2023,loan fund
311539762,National Housing Trust Community Development Fund,DC,L80Z,Y,2023,housing trust fund
311731990,Green And Black Band Parents Association,FL,B11,,2019,green bank
311749238,Azteca Community Loan Fund Inc,,,,2017,community loan fund; loan fund
311788400,Virginia Affordable Housing Loan Fund,VA,S20,,2023,housing loan fund; loan fund
320244049,West Greene High Mosheim Middle School Band Boosters,TN,B94,,,green bank
330348343,California Association Of Local Housing Finance Agencies,CA,S40,,2022,housing finance
330909638,Cdf Holdings Llc A Georgia Llc,CA,X99,,,CDFI
331068719,Michigan Community Capital,MI,S30,Y,2023,community capital
331666333,Pecos Housing Finance Corporation,TX,L80,Y,,housing finance
331694149,Community Foundation Of Henderson County Capital Assets Management F,NC,T31,,,community capital
332702156,Mid Atlantic Regional Loan Fund Inc,MD,S31,Y,,loan fund
333251439,Greater Dubuque Housing Trust Fund,IA,L81,,,housing trust fund
334289552,Pocahontas County Search And Rescue,WV,M23,,,green bank
334435804,Mountain West Community Capital Inc,ID,L21,Y,,community capital
334599115,Friends Of Green Canyon Band,UT,A6C,,,green bank
334848770,Capital Compassion Community,CA,P20,,,community capital
335039834,Arizona Cdfi Network,AZ,S30,Y,,CDFI
335043290,Nyxc Community Capital,CA,S30,Y,,community capital
341097181,Buckeye Shaker Square Development Corporation,OH,S200,,2024,development finance
341369386,Green Band Boosters,OH,B112,,2023,green bank
341402177,Stark Development Board Finance Corp,OH,,,2016,development finance
341426080,Bowling Green Band Boosters Association,OH,B112,,2024,green bank
341454621,Akron Jewish Student Scholarship And Loan Fund,OH,,,2024,loan fund
341517534,Common Wealth Revolving Loan Fund,OH,W60Z,,2018,loan fund; revolving loan fund
341753712,Mahoning Youngstown Mini Loan Fund Inc,OH,,,2015,loan fund
341772362,Columbiana County Mini Loan Fund Inc,OH,,,2015,loan fund
351781035,Columbus Housing Finance Corp Of Columbus Inc,IN,,,,housing finance
351859802,Knox County Rural Housing Finance Corporation,IN,L200,Y,2023,housing finance
352071999,Williams Scholarship Loan Fund Inc,IN,T22,,2021,loan fund
352096800,Scottsburg Educational Loan Fund Inc,IN,B82,,,loan fund
352117547,Old Capitol Community Fellowship Inc,IN,X21,,,community capital
352134383,Indiana United Methodist Loan Fund Inc,IN,,,,loan fund
356016330,Green Lawn Perpetual Care Fund,IN,,,2023,green bank
356369633,Alva O Adie E & Mary J Goslee Student Loan Fund,MO,,,2024,loan fund
356737728,Dearing Memorial Loan Fund Irrv Ua,IN,B82,,2020,loan fund
356772670,Litchfield Memorial Student Loan Fund Inc,IN,W60,,2024,loan fund
363718992,Chicago Low Income Housing Trust Fund,IL,L200,Y,2023,housing trust fund
363762123,Chicago Community Loan Fund,IL,S20Z,,2023,community loan fund; loan fund
366109824,Research Institute For Housing America Trust Fund,DC,B50I,,2023,housing trust fund
366111432,Dr Max Thorek Student Loan Fund Inc,IL,,,2024,loan fund
371548658,Northern Shores Loan Fund Inc,MI,S43,Y,2023,loan fund
371778711,Christian Deaf Fellowship,CA,X20,,2015,CDFI
371848801,Bourbon Capital Community Alliance Inc,KY,A84,,2024,community capital
381791181,Capital Area Community Services Inc,MI,,,2024,community capital
382340472,Jean Patrick Memorial Student Loan Fund,MI,,,,loan fund
382482368,Crcna Loan Fund,MI,,,,loan fund
382528185,Berndine Macmullen Tuohy University Of Michigan Student Loan Fund,MI,,,2024,loan fund
382776652,Capital Region Community Foundation,MI,T310,,2023,community capital
383415982,Lapeer Community Scholarship And Student Loan Fund Incorporated,MI,B82,,2024,community loan fund; loan fund
386091395,Harbor Beach Student Loan Fund Association,MI,,,2024,loan fund
386091548,Birmingham Student Loan And Scholarship Fund Association,MI,B82Z,,2023,loan fund
386347006,Cm And Aa Reid Charitable Trust And Student Loan Fund,OH,T20,,2020,loan fund
386568889,Anthony Stephen And Elizabeth E Brenske Student Loan Fund,OH,,,2019,loan fund
391125673,Green Beret Marching Band Parents Inc,WI,,,,green bank
391521683,Working Capital For Community Needs Inc,WI,Q300,,2024,community capital
391540148,Douglas County Revolving Loan Fund Inc,WI,,,2023,loan fund; revolving loan fund
391679305,Wauwatosa Revoling Loan Fund Corporation,WI,S310,Y,2024,loan fund; revolving loan fund
392084090,Capital Christian Homeschool Community Of Michigan,MI,B94,,,community capital
392714096,Magnolia Capital Community Foundation,MS,T30,,,community capital
394417546,Community Association Development O F Cdf Inc,VA,S20,,,CDFI
394433712,Dakota County Nebraska Housing Trus T Fund,IA,L20,Y,,housing trust fund
395122014,Capitan Community Organization,NM,S20,,,community capital
411692725,Headwaters Revolving Loan Fund Inc,MN,S30,Y,,loan fund; revolving loan fund
411735202,Cdf Foundation,MN,,,2023,CDFI
411800192,The Community Development Venture Capital Alliance,NY,S31,Y,2023,community capital
412004219,Community Capital Inc,MN,B11,,2023,community capital
412062801,Capitol City Community Development Corporation,DC,S30,Y,2008,community capital
412138426,Nt Cdfi Inc,DC,,,2017,CDFI
412901037,Green Run Band Booster Association,VA,A6C,,,green bank
414856551,Evergreen Community Capital,MO,L41,,,community capital
415330745,Glide Community Capital Inc,CA,C11,,,community capital
416023998,Minnesota Knights Of Columbus Student Loan Fund Inc,MN,,,2023,loan fund
416038623,Chosen Valley Student Loan Fund Inc,MN,B82,,,loan fund
420369519,H Carl & William Lage Loan & Scholarship Fund Trust,IA,,,2024,loan fund
421145388,Green Mountain Community Park Inc Producers Savings Bank,IA,N32,,2021,green bank
421217415,West Hancock Scholarship And Loan Fund Inc,IA,,,2024,loan fund
421400350,Archdiocese Of Dubuque Deposit And Loan Fund,IA,,,,loan fund
421502371,Iowa Community Capital,IA,S43,Y,2024,community capital
421510879,Polk County Housing Trust Fund,IA,L20,Y,2024,housing trust fund
426057361,Charles W Thomas & Bertha L Thomas Educational Loan Fund,IA,,,,loan fund
426076075,Malvern Community Student Loan Fund,IA,B82,,2021,community loan fund; loan fund
426078059,P E O Educational Loan Fund,IA,B82,,2024,loan fund
426089521,Fremont Mills Student Loan Fund,IA,,,,loan fund
431259206,Clay County Development Corporation,MO,,,2023,development finance
431554850,Capital Area Community Service Agency,MO,,,2017,community capital
432116172,Wisconsin Native Loan Fund Inc,WI,L82,,2023,loan fund
436029573,Pearl Lowrie Student Loan Fund U W,MO,,,2024,loan fund
450372685,Aglow International,MD,,,,community capital
450437973,Rural Development Finance Corporation,ND,,,2023,development finance
452508774,Chugach Region Community Loan Fund Inc,AK,S32,,,community loan fund; loan fund
452534204,Loa Scholarship Fund,UT,O50,,2022,loan fund
452715844,Community Development Alliance Of The Capital District Inc,NY,L01,,,community capital
452989334,Niacog Housing Trust Fund Inc,IA,L80,Y,2023,housing trust fund
453191747,Housing Trust Fund Ventura County,CA,L20,Y,2024,housing trust fund
453447435,Anewamerica Cdfi,CA,S40,,2023,CDFI
454497566,Affordable Care Loan Fund Inc,OH,E60,,,loan fund
454561134,Community Capital Fund,MO,A12,,2024,community capital
455094294,Neighborhood Housing Finance Corporation,MA,L20,Y,2023,housing finance
455108374,Deposit And Loan Fund Of The Catholic Diocese Of Dodge City,KS,,,,loan fund
455527463,Valley Community Loan Fund Inc,NH,S30,Y,2021,community loan fund; loan fund
460392417,Caputa Community Center Inc,SD,,,,community capital
460489810,Nashville Minority Business Development Loan Fund Inc,TN,S43,Y,2018,loan fund
460572689,Los Angeles Community Capital,CA,L21,Y,2023,community capital
460612061,Community Capital Corporation   Sonia Gutierrez Campus,DC,S47,,2019,community capital
460671912,Western Iowa Community Improvement Regional Housing Trust Fund,IA,L80,Y,2022,housing trust fund
460846338,Oyate Community Development Financial Institution,ND,S43,Y,2022,community development financial institution
461021281,Waterloo Housing Trust Fund,IA,L12,,2023,housing trust fund
461123753,Muslim Community Center Of Capital District Inc,NY,A23,,2023,community capital
461214812,Gloucester Revolving Loan Fund Inc,VA,S99,,2023,loan fund; revolving loan fund
461346241,Davis Community Housing Finance Corporation,UT,L20,Y,,housing finance
461466415,Capital Community,TX,O53,,,community capital
461842173,Capital Community Voices,NY,A60,,2024,community capital
462293709,Neighborworks Soma Realty Inc,MA,L80,Y,2024,housing finance
462377986,Green & Gold Pipe Band,WA,A25,,,green bank
462535520,Mountainland Small Business Loan Fund,UT,J99,,2022,loan fund
462815132,Appalachian Community Capital Corporation,VA,S11,,2024,community capital
462827486,Appalachian Community Capital Development Foundation,VA,T30,,2023,community capital
462975276,Ruth Pinnell Scholarship Loan Fund,IL,T22,,2024,loan fund
463124914,Cdf Wagon Train,CA,N30,,,CDFI
463140210,Finanta Community Development Corporation,PA,L21,Y,2024,development finance
463160643,Parent Booster Usa Inc,TN,B112,,2017,green bank
463343643,Northern Pocahontas Community Wellness,WV,N30,,,green bank
464317437,Education Pays Student Loan Fund Of Tell City Perry Co,IN,B82,,,loan fund
464588351,Hochunk Community Capital Inc,NE,W99,,2024,community capital
464739424,South Carolina Community Capital Alliance,SC,S20,,2016,community capital
466018786,Ezra L Baker Revolving Educational Loan Fund,SD,,,2024,loan fund; revolving loan fund
470492177,Roman Catholic Diocese Of Amarillo Deposit And Loan Fund,TX,,,,loan fund
470577602,Loup County Bicentennial Student Loan Fund,NE,,,,loan fund
470796719,Center For Rural Affairs Community Capital,NE,C32,,2024,community capital
471097738,Capital Community Presbyterian Church,VA,X21,,,community capital
471158807,Capitol Area Community Development Corporation,CA,L20,Y,2023,community capital
471557446,Ghana Microloan Fund,OK,W20,,,microloan fund
471562918,Aspire Community Capital,NC,B99,,2023,community capital
471843308,Inclusive Catholic Community Of Nys Capital Region Inc,NY,X22,,,community capital
471924613,Southeast Flordia Community Development Fund Inc,FL,S30,Y,2024,development finance
472758298,Catholic Diocese Of Kansas City St Joseph Deposit And Loan Fund,MO,,,,loan fund
473001757,Capital Region Community Can Incorporated,NY,T12,,,community capital
473434993,Crescent Community Charities Of The Capital Region Incorporated,NY,T50,,2023,community capital
473526004,Native Cdfi Network Inc,NE,S30,Y,2023,CDFI
473770712,Capital City Cherokee Community,VA,A23,,,community capital
473818078,Contractor Loan Fund Inc,MO,W60,,2019,loan fund
473938545,Susquehanna Valley Student Educational Loan Fund,NY,B82,,,loan fund
473954632,Evergreen Business Capital Community Finance,WA,S30,Y,2024,community capital
473998032,Capitol Hill Community Health Center,MD,E70,,2017,community capital
476694710,Ken Cdf Foundation,NY,T22,,2023,CDFI
480861204,Capital City Community Church Of God,KS,,,,community capital
486113031,Medical Careers Loan Fund,KS,,,2000,loan fund
510137370,Lucy S Elliott Loan Fund,AR,W60Z,,2022,loan fund
510157280,Welker Educational Scholarship And Loan Fund,MT,B820,,2023,loan fund
510161411,Woodie L And Mabel Best Student Loan Fund,WI,,,2017,loan fund
520192004,Enterprise Community Loan Fund Inc,MD,L20,Y,2023,community loan fund; loan fund
521048346,Memorial Scholarship/Loan Fund Of The National Association Of Federa,DC,B03,,,loan fund
521089036,Community Health Charities Of The National Capital Area,VA,,,2015,community capital
521152675,Women In Housing And Finance Inc,VA,,,2023,housing finance
521257952,Community Capital Of Maryland Inc,MD,L20I,Y,2014,community capital
521285159,Heart Of Texas Housing Finance Corporation,TX,,,2009,housing finance
521293119,National Association Of Local Housing Finance Agencies,DC,,,2023,housing finance
521356557,Council Of Development Finance Agenices,OH,,,2023,development finance
521582214,Capitol Hill Community Foundation,DC,T31,,2023,community capital
521638361,Edgewater Housing Finance Corporation,NJ,,,2023,housing finance
522010189,Baltimore County Small Business Loan Fund Inc,MD,S20,,2023,loan fund
522183841,Capitol Community Soccer Club Inc,DC,N64,,,community capital
522260469,Capitol Hill Community Garden Land Tr,DC,C34,,,community capital
522332161,Community Capital Corporation,DC,B11,,2023,community capital
540788370,Kyle Memorial Student Loan Fund Incorporated,VA,,,,loan fund
541793308,Capital Community Church Reston,VA,X21,,,community capital
541884190,Vernon J Harris East End Community Health Center,VA,E32,,2023,community capital
542058754,Partner Community Capital Inc,WV,P20,,2023,community capital
550679446,National Radio Astronomy Observatory Employees Recreation A,WV,,,,green bank
550764818,Pocahontas County Historic Landmark Commission,WV,A82,,2010,green bank
550820866,Northtown Housing Finance Corporation,CA,L11,,2023,housing finance
556023689,American Legion Post 0117,WV,,,2008,green bank
560774769,James W Denmark Loan Fund Inc,NC,T90Z,,2023,loan fund
561356115,Capital Community Church,NC,,,,community capital
561706757,Brick Capital Community Development Corporation,NC,S31Z,Y,2023,community capital
561942969,Capital Community Foundation Inc,NC,T31,,2022,community capital
562071604,Lincoln County Rotary Student Loan Fund Inc,NC,B820,,2024,loan fund
562150641,Green Hope High School Band Boosters,NC,B83,,2024,green bank
562493607,Geauga Amish Loan Fund,OH,X200,,2023,loan fund
566034968,Robert Wesley Pickens Loan Fund,MO,,,2023,loan fund
566057506,Apta North Carolina Scholarship And Loan Fund Inc,OR,,,,loan fund
570842766,Summerville Green Wave Band Booster Club,SC,B11,,2023,green bank
580568686,Jewish Educational Loan Fund Inc,GA,,,2023,loan fund
581478499,Tennessee Medical Association Impaired Physician Loan Fund Inc,TN,,,2023,loan fund
581485396,Wake County Housing Finance Corporation,NC,,,2023,housing finance
581491453,Solon E & Espie Watts Little Scholarship Loan Fund Inc,NC,,,2023,loan fund
581492427,Wilmington Housing Finance And Development Inc,NC,L20Z,Y,2022,development finance; housing finance
582435590,Community Redevelopment Loan And Investment Fund Inc,GA,S202,,2023,community loan fund; loan fund
582470073,South Carolina Community Capital Inc,SC,S30,Y,2022,community capital
586036572,Rotary Club Of Pelham Inc Student Loan Fund,GA,,,,loan fund
586107960,Dr And Mrs A J Welchel Students Aid Loan Fund Inc,GA,,,2023,loan fund
591117362,Capital Area Community Action Agency Inc,FL,P20Z,,2024,community capital
592479238,Bryant L Coker Scholarship Loan Fund,FL,,,2023,loan fund
593270584,Florida Development Finance Corporation,FL,,,2023,development finance
593392460,Business Loan Fund Of The Palm Beaches Inc,FL,S30,Y,2021,loan fund
593563085,Florida Community Capital Corporation,FL,L200,Y,2020,community capital
611032709,Bowling Green Band Boosters Inc,KY,,,2018,green bank
611279821,Interparish Deposit Loan Fund Corp,KY,T30I,,,loan fund
611529153,Capital City Community Foundation,NJ,T31,,2024,community capital
621207222,Gr Greene County Commuity Ministry,TN,P600,,2022,green bank
621260963,International Association Of Lions Clubs,WV,,,,green bank
621572698,Chattanooga Community Development Financial Institution Inc,TN,,,2019,community development financial institution
621823596,Southeast Community Capital Corporation,TN,J20,,2023,community capital
626047101,Knoxville Rotary Club Student Loan Fund Inc,TN,B90,,2023,loan fund
626336489,Eleanor R Simonis Educational Loan Fund,MI,B82,,2020,loan fund
640836339,Cdf Charities Inc,MS,,,2017,CDFI
646020860,Mississippi State Univ Bass Mem Loan Fund Deposit,AL,,,2024,loan fund
650545058,Florida Community Loan Fund,FL,S31,Y,2023,community loan fund; loan fund
650801446,Jewish Free Loan Society G Miloot Chesed Fund Of Greater Hollywood F,FL,P60,,2023,loan fund
680010833,California Department Of Forestry Employees Association,CA,,,,CDFI
680400624,Sacramento Community Clinic Co Capitol Health Network,CA,,,2019,community capital
680488549,Texas Community Capital,TX,W12,,2023,community capital
710625602,Coleman Student Loan Relief Fund,TN,S20,,2019,loan fund
721321970,Capital One Community Development Corporation Ii,LA,T20Z,,2023,community capital
721336040,Louisiana Community Development Capital Fund Inc,LA,S20,,2024,community capital
721366516,Scdf Loan And Technical Assistance Fund Inc,LA,P99,,2018,loan fund
721462917,Community Development Capital,LA,L20,Y,2024,community capital
721545804,Volunteers Of America Inc,AL,,,2024,community capital
726084752,Bonner Price Student Loan Fund Trust,MO,B82,,2023,loan fund
731444324,Tulsa Community Loan Fund,OK,L20,Y,2024,community loan fund; loan fund
731518380,Lauer And Hazel Hieronymus Student Loan Trust Fund,OK,B82,,2024,loan fund
740022840,Houston Housing Finance Corporation,TX,L80Z,Y,,housing finance
742617569,Texas Housing Finance Corporation,TX,,,2023,housing finance
742734532,Austin Capital Area Community Leadership Council Inc,TX,B82,,,community capital
742878551,Morse Student Loan Fund Charitable Tr,IL,B82,,2024,loan fund
742884025,Texas Housing Finance Corporation Fund Iv,TX,S99,,2020,housing finance
742884026,Texas Housing Finance Corporation Special,TX,L20,Y,2022,housing finance
742941920,Texas Housing Finance Corporation Dallas Fund,TX,L80,Y,2020,housing finance
742961322,Texas Housing Finance Corporation Fund V,TX,L99,,2020,housing finance
742998697,Texas Housing Finance Corporation Fund Vi,TX,P20,,2020,housing finance
743045222,Capitol City Community Church General Assembly,CA,X21,,,community capital
