ein,name,flags,key_numbers,rationale
471924613,Southeast Florida Community Development Fund,F1+F4,"assets=1.7M; escrow_x21=1.0M (58% of assets); ULBC loan revenue","Escrow/custodial liability exceeds half of total assets; administers Urban League (ULBC) loan program funds."
943398998,Community Housing Capital Inc,F1,"assets=196.7M; escrow_x21=10.5M; servicing fees=66K","NeighborWorks network national lender with >$10M escrow/custodial liability reported on Part X line 21; check what the audited F/S say those custodial funds are."
621823596,Southeast Community Capital Corp (Pathway Lending),F4,"assets=368.1M; loans=204.6M; administers TN Energy Efficiency Loan Program; TN/AL job opportunity funds","Administers multiple state-sponsored loan programs (TN EELP, Rural Opportunity Fund, TN/AL Job Opportunity Funds) - classic government-program administrator; need F/S to see gross vs net."
812179565,Montgomery County Green Bank Corporation,F4,"assets=141.1M; escrow_x21=6.4M; loans_recv=36.5M","Publicly chartered county green bank with escrow/custodial liability and large non-loan asset base (program funds awaiting deployment); green-bank category target."
832202198,Catalyst Community Capital Inc,F4,"assets=655K; liab=1.09M (>assets)","Part III: 'partners with local government agencies and municipalities to create, develop, and manage various funding... programs' - manages municipal loan programs; liabilities exceed assets."
043292614,New Hope Community Capital Inc,F2,"assets=75.6M; equity raised=300M; asset mgmt fees","LIHTC syndicator managing 14 investment funds ($300M raised) that are not consolidated; fee-earning manager of third-party capital (equity variant of the fact pattern)."
943099401,Merritt Community Capital,F2-analog,"assets=39.4M; partnership+mgmt fees=8.3M dominant; GP interest 0.0001%","LIHTC fund general partner earning fee income; fund assets (third-party capital) excluded from own statement via 0.0001% GP interests."
222524015,New Hampshire Community Loan Fund Inc,F4-weak,"assets=237.4M; USDA pass-through program=186.7M over 6 years; grant admin fees=3.8M","Administers USDA nationwide regranting programs as pass-through ($41.7M disbursed in FY2025; grant administration fees $3.8M) - grant-side agency treatment worth reading in the audited F/S."
030239902,Vermont Housing Finance Agency,D-candidate+F4,"assets=705.4M; loans=582.9M; liab=581.8M; $4.0B bonds issued historically","HFA that fully grosses up loans and bonds - cautionary/counterexample profile; also administers ARPA HAF and Capital Magnet Fund programs."
050483965,Providence Business Loan Fund,F4-weak,"assets=11.3M; 'Due to other funds'=2.1M","City-affiliated revolving loan fund (CDBG-lineage) with due-to-other-funds liability caption; likely administers city loan capital."
463140210,FINANTA Community Development,weak,"assets=26.2M; 'Due to Community First Fund'=10.2M (39% of assets)","Post-merger entity whose largest liability is due-to-acquirer while it holds the loan book - administered-portfolio fingerprint worth one look."
208181931,Renaissance Community Loan Fund,C-candidate,"assets=66.5M; 'Due to FHLB - Small Business Boost'=2.2M; escrow=461K","FHLB Small Business Boost pass-through advances shown as due-to - narrow support for pass-through liability captioning."
820523355,NewWest Community Capital Inc,F3-weak,"assets=70.0M; origination+servicing fees=4.3M; servicing fees=388K","Fee income (origination and servicing) unusually dominant relative to portfolio; check whether it services loans owned by others."
